paridraw,parid,groupid,gender,age,se_occ,se_sum,se_dur,country,setting,session,n_obj,dur,date,ec,vcball,noun,verb,adj,noun_sp,verb_sp,adj_sp,sounds1,animals,vehicles,toys,food,clothing,bodyparts,furniture,household,outside,places,people,routines,actions,time,descriptivewords,pronouns,questions,locations,prepositions,quantifiers,connectingwords,sounds2,conversations,others
NA,H2022_01,H2022,f,21,0,0,0,JP,inlab,1,5,5,NA,4.319090909,259,97,42,22,0.8,1,1,10,36,2,3,25,7,8,7,9,5,5,12,24,42,3,22,5,2,3,NA,7,0,14,2,6
NA,H2022_02,H2022,f,18,1,5,55.7,JP,inlab,1,5,5,NA,3.834242424,56,26,0,2,0.8,0,0,9,6,1,1,11,2,2,1,2,0,0,3,4,0,0,2,1,0,0,NA,1,0,8,1,1
NA,H2022_03,H2022,f,24,1,1,37.139,JP,inlab,1,5,5,NA,3.910606061,378,160,48,38,1,0.75,1,7,24,6,14,51,12,23,11,19,13,9,14,25,48,7,38,10,2,3,NA,11,0,19,7,5
NA,H2022_04,H2022,f,30,0,0,0,JP,inlab,1,5,5,NA,4.566666667,286,129,29,28,0.8,0.5,1,7,20,4,8,41,8,18,9,21,8,4,17,19,29,2,28,4,5,5,NA,10,0,11,4,4
NA,H2022_05,H2022,m,18,0,0,0,JP,inlab,1,5,5,NA,4.233333333,21,11,0,0,0.2,0,0,4,1,5,1,3,0,1,0,0,0,0,3,2,0,0,0,0,0,0,NA,0,0,0,0,1
NA,H2022_06,H2022,m,23,1,1,7.166,JP,inlab,1,5,5,NA,4.189393939,76,11,5,5,0.6,0,0.5,8,0,2,0,2,1,5,0,1,2,0,5,13,5,0,5,5,0,1,NA,2,0,10,6,3
NA,H2022_07,H2022,f,18,1,3,34.825,JP,inlab,1,5,5,NA,NA,29,8,1,1,0.4,0,0,5,3,1,0,3,1,0,0,0,0,0,7,4,1,0,1,1,0,0,NA,0,0,0,0,2
NA,H2022_08,H2022,f,19,0,0,0,JP,inlab,1,5,5,NA,4.074242424,90,39,0,10,0.6,0,0.5,7,12,5,6,11,2,2,1,0,0,0,7,10,0,0,10,0,0,0,NA,1,0,9,4,3
NA,H2022_09,H2022,f,20,0,0,0,JP,inlab,1,5,5,NA,4.312121212,303,129,30,33,0.8,0,1,11,34,9,8,37,9,14,4,14,11,3,15,23,30,2,33,2,2,2,NA,6,0,20,10,4
NA,H2022_10,H2022,m,19,0,0,0,JP,inlab,1,5,5,NA,4.065151515,11,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,NA,1,0,3,1,0
NA,H2022_11,H2022,m,27,0,0,0,JP,inlab,1,5,5,NA,4.013636364,349,171,39,30,1,0.75,1,8,39,13,9,41,9,21,16,23,19,5,9,22,39,5,30,5,0,3,NA,8,0,18,2,5
NA,H2022_12,H2022,m,18,0,0,0,JP,inlab,1,5,5,NA,3.83030303,17,2,0,0,0.2,0,0,3,0,1,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,NA,0,0,2,0,3
NA,H2022_13,H2022,f,20,0,0,0,JP,inlab,1,5,5,NA,3.987878788,101,42,5,7,0.2,0.25,0,7,18,2,3,11,4,3,0,1,2,1,5,9,5,0,7,2,0,0,NA,0,0,15,5,1
NA,H2022_14,H2022,m,29,0,0,0,JP,inlab,1,5,5,NA,3.842424242,187,98,26,18,0.4,0,0.5,12,21,5,9,59,4,0,0,0,0,0,0,0,26,1,18,4,2,1,NA,6,0,17,0,2
NA,H2022_15,H2022,f,25,1,5,58.815,JP,inlab,1,5,5,NA,4.947272727,228,126,11,19,0.8,0.25,1,7,21,6,8,34,8,21,12,16,11,4,6,13,11,2,19,7,0,7,NA,6,0,4,0,5
NA,H2022_16,H2022,f,22,1,1,4.622,JP,inlab,1,5,5,NA,4.297979798,81,32,1,10,0.6,0,1,8,8,1,0,15,2,4,0,2,4,1,4,6,1,0,10,0,1,0,NA,3,0,6,2,3
NA,H2022_17,H2022,f,24,0,0,0,JP,inlab,1,5,5,NA,5.273809524,146,56,16,10,0.6,0,0,9,3,3,0,28,3,9,3,7,3,0,7,18,16,0,10,4,1,0,NA,3,0,11,3,5
